cell_id,framework,model,gpu_config,gpu_actual,concurrency,iterations,eval_set,status,failure_rate,latency_p50,latency_p95,latency_p99,rtf_aggregate,rtf_per_request_p50,wer,gpu_util_mean,gpu_util_max,memory_peak_mib,audio_seconds_processed,wall_seconds,requests_per_second,git_sha,timestamp_utc,price_on_demand_usd_per_hour,price_spot_usd_per_hour,cost_usd_per_audio_hour_on_demand,cost_usd_per_audio_hour_spot
v1_fw_a100_concurrent_1,faster_whisper,openai/whisper-large-v3,A100-SXM4-80GB,NVIDIA A100-SXM4-80GB,1,3,librispeech_streaming_30s,ok,0.0,1.77954326197505,11.209128179773682,11.975076622441408,0.10244602091514617,0.04734688772349527,0.04310512970548079,83.57064220183486,97.0,5279.0,5328.374812500001,545.8707974851131,0.27479029962963125,f0b1c66e1fe4,2026-05-01T23:50:59.975789+00:00,1.39,0.85,0.14239996907205316,0.08707911777787423
v1_fw_a100_concurrent_32,faster_whisper,openai/whisper-large-v3,A100-SXM4-80GB,NVIDIA A100-SXM4-80GB,32,3,librispeech_streaming_30s,ok,0.07333333333333333,98.07474195212126,162.03895627520978,170.61181732445957,0.1109077985134413,2.854072922420766,0.035559592007824506,83.94160583941606,100.0,5603.0,4959.319937500001,550.0272563919425,0.25271474892318857,f0b1c66e1fe4,2026-05-02T00:11:00.124884+00:00,1.39,0.85,0.1541618399336834,0.09427162873642511
v1_fw_a100_concurrent_8,faster_whisper,openai/whisper-large-v3,A100-SXM4-80GB,NVIDIA A100-SXM4-80GB,8,3,librispeech_streaming_30s,ok,0.0,22.98209300264716,60.89151585586369,71.24063541077075,0.10232232952939792,0.6618787086938192,0.05376763539431766,83.93173431734317,100.0,5375.0,5328.374812500001,545.211723420769,0.2751224772990382,f0b1c66e1fe4,2026-05-02T00:00:45.487838+00:00,1.39,0.85,0.1422280380458631,0.08697398009998823
v1_fw_l4_concurrent_1,faster_whisper,openai/whisper-large-v3,L4,NVIDIA L4,1,3,librispeech_streaming_30s,ok,0.0,2.591647405177355,19.86198897846042,22.607813154458995,0.16725872881539933,0.06916717639569181,0.04030947272609063,94.2581369248036,100.0,4947.0,5328.374812500001,891.2171977907419,0.1683091398727923,adba96796eed,2026-04-30T19:34:24.453191+00:00,0.6,0.35,0.10035523728923959,0.05854055508538976
v1_fw_l4_concurrent_8,faster_whisper,openai/whisper-large-v3,L4,NVIDIA L4,8,3,librispeech_streaming_30s,ok,0.0,41.173016995191574,107.12127626277493,114.97087002079932,0.175058057609947,1.1869060902173443,0.03679864768220532,93.80064308681672,100.0,5075.0,5328.374812500001,932.7749448940158,0.16081049434388847,adba96796eed,2026-04-30T19:51:04.325147+00:00,0.6,0.35,0.1050348345659682,0.06127032016348145
v1_hf_a100_concurrent_1,hf,openai/whisper-large-v3,A100-SXM4-80GB,NVIDIA A100-SXM4-80GB,1,3,librispeech_streaming_30s,ok,0.0,3.606666589155793,4.4238763878121965,4.679855565801262,0.09980674376882347,0.1003540272989296,0.014433391847084065,22.104364326375713,42.0,4469.0,5328.374812500001,531.8077396154404,0.2820568202118827,892bcc16b0d2,2026-05-06T04:35:06.009881+00:00,1.39,0.85,0.1387313738386646,0.08483573220349995
v1_hf_a100_concurrent_1,hf,openai/whisper-large-v3,A100-SXM4-80GB,NVIDIA A100-SXM4-80GB,1,3,librispeech_streaming_30s,ok,0.0,3.7828878816217184,4.506847511790691,4.759502609223127,0.10753078154567179,0.10751310220332262,0.014433391847084065,20.357394366197184,42.0,4469.0,5328.374812500001,572.9643079563975,0.261796411952793,c75d984737d6,2026-05-10T17:02:56.300904+00:00,1.39,0.85,0.1494677863484838,0.09140116431382102
v1_hf_a100_concurrent_128,hf,openai/whisper-large-v3,A100-SXM4-80GB,NVIDIA A100-SXM4-80GB,128,3,librispeech_streaming_30s,ok,0.0,193.53863701596856,327.3174976123497,328.04634266391395,0.07214083325799892,5.283980758039766,0.014433391847084065,31.783854166666668,43.0,5043.0,5328.374812500001,384.39339888468385,0.3902252235215914,c75d984737d6,2026-05-10T17:35:01.628538+00:00,1.39,0.85,0.10027575822861849,0.06131970826929908
v1_hf_a100_concurrent_32,hf,openai/whisper-large-v3,A100-SXM4-80GB,NVIDIA A100-SXM4-80GB,32,3,librispeech_streaming_30s,ok,0.0,80.49905892089009,84.8705798201263,85.40926713902503,0.07191583656394036,2.265400911308656,0.014433391847084065,31.297650130548302,43.0,5041.0,5328.374812500001,383.19453216716647,0.3914460865390515,c75d984737d6,2026-05-10T17:17:16.462996+00:00,1.39,0.85,0.0999630128238771,0.06112846107934931
v1_hf_a100_concurrent_64,hf,openai/whisper-large-v3,A100-SXM4-80GB,NVIDIA A100-SXM4-80GB,64,3,librispeech_streaming_30s,ok,0.0,163.09893954731524,166.8875807227567,167.4585358341411,0.07284217814367212,4.237309144918338,0.014433391847084065,31.22107969151671,43.0,4621.0,5328.374812500001,388.1304273083806,0.3864680258134484,c75d984737d6,2026-05-10T17:27:01.666501+00:00,1.39,0.85,0.10125062761970424,0.061915851422121304
v1_hf_a100_concurrent_8,hf,openai/whisper-large-v3,A100-SXM4-80GB,NVIDIA A100-SXM4-80GB,8,3,librispeech_streaming_30s,ok,0.0,20.20569733902812,22.483086597174406,22.63145137555897,0.0717263353194117,0.5965456569965741,0.014433391847084065,31.503916449086162,43.0,4149.0,5328.374812500001,382.1847985088825,0.3924802885547364,c75d984737d6,2026-05-10T17:10:04.375245+00:00,1.39,0.85,0.09969960609398225,0.06096738502149994
v1_hf_l4_concurrent_1,hf,openai/whisper-large-v3,L4,NVIDIA L4,1,3,librispeech_streaming_30s,ok,0.0,1.5487207411788404,1.9632299189921467,2.1041958574857564,0.0445669675305554,0.04472555511354928,0.014433391847084065,92.21008403361344,97.0,3758.0,5328.374812500001,237.46950725931674,0.631660046509466,add202431e8d,2026-05-06T03:26:28.992272+00:00,0.6,0.35,0.026740180518333236,0.015598438635694389
v1_hf_l4_concurrent_128,hf,openai/whisper-large-v3,L4,NVIDIA L4,128,3,librispeech_streaming_30s,ok,0.0,120.94518952677026,209.1180605392903,209.3642776120454,0.04555002112537865,3.289781637142629,0.014433391847084065,90.61728395061728,97.0,4350.0,5328.374812500001,242.70758527331054,0.6180276559180733,add202431e8d,2026-05-06T03:44:47.135838+00:00,0.6,0.35,0.027330012675227187,0.015942507393882525
v1_hf_l4_concurrent_32,hf,openai/whisper-large-v3,L4,NVIDIA L4,32,3,librispeech_streaming_30s,ok,0.0,49.75497145485133,52.086722964420915,52.40214225431904,0.044226039889217666,1.3945650679392347,0.014433391847084065,93.32627118644068,97.0,4350.0,5328.374812500001,235.65291700232774,0.6365293581259523,add202431e8d,2026-05-06T03:35:34.857335+00:00,0.6,0.35,0.026535623933530598,0.015479113961226183
v1_hf_l4_concurrent_64,hf,openai/whisper-large-v3,L4,NVIDIA L4,64,3,librispeech_streaming_30s,ok,0.0,99.17167829768732,102.10743511589244,102.31829132231884,0.04423459803832686,2.578153112995957,0.014433391847084065,93.08898305084746,97.0,4350.0,5328.374812500001,235.6985180284828,0.6364062076193172,add202431e8d,2026-05-06T03:40:08.026701+00:00,0.6,0.35,0.026540758822996117,0.015482109313414401
v1_hf_l4_concurrent_8,hf,openai/whisper-large-v3,L4,NVIDIA L4,8,3,librispeech_streaming_30s,ok,0.0,12.403858384117484,13.7486295749899,13.903855873774738,0.04416541637930134,0.36645717564867175,0.014433391847084065,93.44491525423729,97.0,4072.0,5328.374812500001,235.32989221904427,0.637403088003714,add202431e8d,2026-05-06T03:31:01.343755+00:00,0.6,0.35,0.0264992498275808,0.015457895732755468
v1_vllm_a100_concurrent_1,vllm,openai/whisper-large-v3,A100-SXM4-80GB,NVIDIA A100-SXM4-80GB,1,3,librispeech_streaming_30s,ok,0.0,0.2795561347156763,0.8967886887490738,1.6469114704057572,0.010311105194971845,0.008090346221889002,1.0715818217281061,40.528301886792455,99.0,70389.0,5328.374812500001,54.94143320992589,2.730179961393882,f0b1c66e1fe4,2026-05-02T00:40:46.716064+00:00,1.39,0.85,0.014332436221010865,0.008764439415726069
v1_vllm_a100_concurrent_128,vllm,openai/whisper-large-v3,A100-SXM4-80GB,NVIDIA A100-SXM4-80GB,128,3,librispeech_streaming_30s,ok,0.0,9.204508531838655,15.042866233736275,16.621293637007472,0.0031584501636814965,0.26682330964764844,0.5785709641765815,64.0,89.0,70125.0,5328.374812500002,16.829406298696995,8.912970388718565,f0b1c66e1fe4,2026-05-02T00:49:36.216398+00:00,1.39,0.85,0.00439024572751728,0.002684682639129272
